region_order,regioncode,period,weekend_date,cw_sales,py_sales,sales_growth,cw_traffic,py_traffic,traffic_growth,closing_ratio,py_reported,py_closing_ratio,rank,TIV
1,26,201605,5/29/2016,2036,2319,-0.122,4276,4446.666784,-0.038380835,0.4761,2001,0.449999988,4,
2,36,201605,5/29/2016,1064,1188,-0.1044,2710,3131.428625,-0.134580307,0.3926,1096,0.349999994,4,
3,34,201605,5/29/2016,2414,2574,-0.0622,6860,7252.9411,-0.054176795,0.3519,2466,0.340000004,4,
4,24,201605,5/29/2016,954,1203,-0.207,2247,2876.315826,-0.218792325,0.4246,1093,0.379999995,4,
5,32,201605,5/29/2016,1597,1843,-0.1335,4160,5182.857231,-0.197353928,0.3839,1814,0.349999994,4,
6,42,201605,5/29/2016,605,668,-0.0943,1532,1877.142889,-0.183866072,0.3949,657,0.349999994,4,
7,48,201605,5/29/2016,292,328,-0.1098,882,1229.629581,-0.282710815,0.3311,332,0.270000011,4,
8,44,201605,5/29/2016,2004,1568,0.2781,5974,5171.875116,0.15509363,0.3355,1655,0.319999993,4,
1,26,201606,6/5/2016,856,854,0.0023,2164,2195.555614,-0.014372496,0.3956,988,0.449999988,1,
2,36,201606,6/5/2016,512,531,-0.0358,1559,1760.00003,-0.114204561,0.3284,616,0.349999994,1,
3,34,201606,6/5/2016,1393,1486,-0.0626,4723,4726.470539,-0.000734277,0.2949,1607,0.340000004,1,
4,24,201606,6/5/2016,489,519,-0.0578,1536,1521.052651,0.009826977,0.3184,578,0.379999995,1,
5,32,201606,6/5/2016,910,1214,-0.2504,2971,3854.28578,-0.229169769,0.3063,1349,0.349999994,1,
6,42,201606,6/5/2016,366,390,-0.0615,1057,1340.000023,-0.211194043,0.3463,469,0.349999994,1,
7,48,201606,6/5/2016,157,195,-0.1949,735,733.3333042,0.002272767,0.2136,198,0.270000011,1,
8,44,201606,6/5/2016,1158,1202,-0.0366,3907,3996.875089,-0.022486339,0.2964,1279,0.319999993,1,
1,26,201606,6/12/2016,1116,1048,0.0649,2640,2820.000075,-0.063829812,0.4227,1269,0.449999988,2,
2,36,201606,6/12/2016,591,660,-0.1045,1681,2134.285751,-0.212382878,0.3516,747,0.349999994,2,
3,34,201606,6/12/2016,1717,1776,-0.0332,5017,5585.294059,-0.101748279,0.3422,1899,0.340000004,2,
4,24,201606,6/12/2016,560,671,-0.1654,1688,1857.89476,-0.091444771,0.3318,706,0.379999995,2,
5,32,201606,6/12/2016,1051,1322,-0.205,3310,4068.571498,-0.186446643,0.3175,1424,0.349999994,2,
6,42,201606,6/12/2016,450,473,-0.0486,1547,1542.857169,0.002685168,0.2909,540,0.349999994,2,
7,48,201606,6/12/2016,166,236,-0.2966,717,881.4814465,-0.186596606,0.2315,238,0.270000011,2,
8,44,201606,6/12/2016,1325,1337,-0.009,4315,4493.7501,-0.03977749,0.3071,1438,0.319999993,2,
1,26,201606,6/19/2016,1237,1222,0.0123,3018,3031.111191,-0.00432554,0.4099,1364,0.449999988,3,
2,36,201606,6/19/2016,694,740,-0.0622,1890,2337.142897,-0.191320307,0.3672,818,0.349999994,3,
3,34,201606,6/19/2016,1686,1802,-0.0644,4943,5452.941119,-0.093516711,0.3411,1854,0.340000004,3,
4,24,201606,6/19/2016,668,721,-0.0735,1833,2018.421078,-0.091864418,0.3644,767,0.379999995,3,
5,32,201606,6/19/2016,1281,1394,-0.0811,3769,4354.285788,-0.134416025,0.3399,1524,0.349999994,3,
6,42,201606,6/19/2016,554,598,-0.0736,1489,1811.428602,-0.177996859,0.3721,634,0.349999994,3,
7,48,201606,6/19/2016,222,230,-0.0348,750,899.9999642,-0.166666634,0.296,243,0.270000011,3,
8,44,201606,6/19/2016,1310,1341,-0.0231,4744,4503.125101,0.053490608,0.2761,1441,0.319999993,3,
1,26,201606,6/26/2016,1694,1856,-0.0873,3678,4526.666787,-0.187481612,0.4606,2037,0.449999988,4,
2,36,201606,6/26/2016,908,988,-0.081,2418,3065.714338,-0.211276807,0.3755,1073,0.349999994,4,
3,34,201606,6/26/2016,2194,2432,-0.0979,6278,7549.999921,-0.168476812,0.3495,2567,0.340000004,4,
4,24,201606,6/26/2016,845,958,-0.118,2162,2607.89477,-0.17097882,0.3908,991,0.379999995,4,
5,32,201606,6/26/2016,1467,1752,-0.1627,4258,5202.857231,-0.181603528,0.3445,1821,0.349999994,4,
6,42,201606,6/26/2016,680,723,-0.0595,1870,2154.285751,-0.13196288,0.3636,754,0.349999994,4,
7,48,201606,6/26/2016,233,282,-0.1738,1051,1092.592549,-0.038067758,0.2217,295,0.270000011,4,
8,44,201606,6/26/2016,1541,1656,-0.0694,4701,5415.625121,-0.131956165,0.3278,1733,0.319999993,4,
1,26,201607,7/3/2016,1393,1676,-0.1689,3023,2984.444524,0.012918812,0.4608,1343,0.449999988,1,
2,36,201607,7/3/2016,868,1013,-0.1431,2333,2431.428613,-0.040481802,0.3721,851,0.349999994,1,
3,34,201607,7/3/2016,2328,2290,0.0166,6338,5673.529352,0.117117689,0.3673,1929,0.340000004,1,
4,24,201607,7/3/2016,685,897,-0.2363,1898,2028.947394,-0.064539571,0.3609,771,0.379999995,1,
5,32,201607,7/3/2016,1408,1811,-0.2225,3953,4285.714359,-0.077633349,0.3562,1500,0.349999994,1,
6,42,201607,7/3/2016,654,713,-0.0827,1669,1882.857175,-0.113581199,0.3919,659,0.349999994,1,
7,48,201607,7/3/2016,191,260,-0.2654,651,774.0740433,-0.158995182,0.2934,209,0.270000011,1,
8,44,201607,7/3/2016,2488,2794,-0.1095,6958,7340.625164,-0.052124329,0.3576,2349,0.319999993,1,
1,26,201607,7/10/2016,1068,1075,-0.0065,2729,2828.888964,-0.035310316,0.3914,1273,0.449999988,2,
2,36,201607,7/10/2016,615,650,-0.0538,1872,2100.000036,-0.108571444,0.3285,735,0.349999994,2,
3,34,201607,7/10/2016,1728,1581,0.093,5129,4979.411712,0.030041358,0.3369,1693,0.340000004,2,
4,24,201607,7/10/2016,602,641,-0.0608,1600,1755.26318,-0.088455784,0.3763,667,0.379999995,2,
5,32,201607,7/10/2016,1116,1116,0,3392,3662.857205,-0.073946974,0.329,1282,0.349999994,2,
6,42,201607,7/10/2016,474,468,0.0128,1361,1457.142882,-0.065980408,0.3483,510,0.349999994,2,
7,48,201607,7/10/2016,168,246,-0.3171,660,951.851814,-0.306614758,0.2545,257,0.270000011,2,
8,44,201607,7/10/2016,1330,1410,-0.0567,4518,4578.125102,-0.013133128,0.2944,1465,0.319999993,2,
1,26,201607,7/17/2016,1129,1061,0.0641,2642,2715.555627,-0.027086769,0.4273,1222,0.449999988,3,
2,36,201607,7/17/2016,663,660,0.0045,1997,2080.000035,-0.039903863,0.332,728,0.349999994,3,
3,34,201607,7/17/2016,1722,1582,0.0885,5202,4941.176419,0.052785725,0.331,1680,0.340000004,3,
4,24,201607,7/17/2016,652,661,-0.0136,1769,1794.736865,-0.014340188,0.3686,682,0.379999995,3,
5,32,201607,7/17/2016,1331,1232,0.0804,3916,4080.000069,-0.040196095,0.3399,1428,0.349999994,3,
6,42,201607,7/17/2016,454,443,0.0248,1321,1340.000023,-0.014179121,0.3437,469,0.349999994,3,
7,48,201607,7/17/2016,191,241,-0.2075,749,925.9258891,-0.191079968,0.255,250,0.270000011,3,
8,44,201607,7/17/2016,1354,1420,-0.0465,4433,4615.625103,-0.039566711,0.3054,1477,0.319999993,3,
1,26,201607, 2016-07-24,1356,1201,0.1291,3111,3066.666748,0.014456495,0.4359,1380,0.449999988,4,
2,36,201607, 2016-07-24,764,740,0.0324,2080,2428.57147,-0.143529426,0.3673,850,0.349999994,4,
3,34,201607, 2016-07-24,1880,1775,0.0592,5791,5626.470529,0.029242039,0.3246,1913,0.340000004,4,
4,24,201607, 2016-07-24,692,714,-0.0308,1861,1957.894761,-0.049489259,0.3718,744,0.379999995,4,
5,32,201607, 2016-07-24,1282,1399,-0.0836,3884,4354.285788,-0.108005265,0.3301,1524,0.349999994,4,
6,42,201607, 2016-07-24,550,532,0.0338,1459,1685.714314,-0.13449154,0.377,590,0.349999994,4,
7,48,201607, 2016-07-24,179,237,-0.2447,693,885.18515,-0.21711294,0.2583,239,0.270000011,4,
8,44,201607, 2016-07-24,1467,1324,0.108,4702,4509.375101,0.042716539,0.312,1443,0.319999993,4,
1,26,201607, 2016-07-31,1589,1319,0.2047,3402,3177.777862,0.070559412,0.4671,1430,0.449999988,5,
2,36,201607, 2016-07-31,944,855,0.1041,2363,2480.000042,-0.047177436,0.3995,868,0.349999994,5,
3,34,201607, 2016-07-31,2180,1890,0.1534,6217,5808.823468,0.070268366,0.3507,1975,0.340000004,5,
4,24,201607, 2016-07-31,958,818,0.1711,2282,2281.578976,0.000184532,0.4198,867,0.379999995,5,
5,32,201607, 2016-07-31,1638,1446,0.1328,4471,4362.857217,0.024787147,0.3664,1527,0.349999994,5,
6,42,201607, 2016-07-31,624,621,0.0048,1636,1831.428603,-0.106708284,0.3814,641,0.349999994,5,
7,48,201607, 2016-07-31,248,262,-0.0534,756,1003.703664,-0.246789638,0.328,271,0.270000011,5,
8,44,201607, 2016-07-31,1627,1603,0.015,4970,5196.875116,-0.043656065,0.3274,1663,0.319999993,5,
1,26,201608, 2016-08-07,1120,1201,-0.0674,2798,3166.666751,-0.116421076,0.4003,1425,0.449999988,1,
2,36,201608, 2016-08-07,624,685,-0.0891,1845,2225.714324,-0.171052646,0.3382,779,0.349999994,1,
3,34,201608, 2016-08-07,1770,1674,0.0573,5452,5249.999945,0.038476201,0.3247,1785,0.340000004,1,
4,24,201608, 2016-08-07,497,555,-0.1045,1428,1705.263179,-0.162592603,0.348,648,0.379999995,1,
5,32,201608, 2016-08-07,1136,1211,-0.0619,3553,3865.714352,-0.080894325,0.3197,1353,0.349999994,1,
6,42,201608, 2016-08-07,494,525,-0.059,1643,1637.142885,0.003577644,0.3007,573,0.349999994,1,
7,48,201608, 2016-08-07,170,221,-0.2308,586,777.7777469,-0.246571399,0.2901,210,0.270000011,1,
8,44,201608, 2016-08-07,1371,1441,-0.0486,4748,4725.000106,0.004867702,0.2888,1512,0.319999993,1,
1,26,201608, 2016-08-14,1245,1432,-0.1306,2973,3451.111203,-0.138538336,0.4188,1553,0.449999988,2,
2,36,201608, 2016-08-14,722,791,-0.0872,2184,2497.1429,-0.125400473,0.3306,874,0.349999994,2,
3,34,201608, 2016-08-14,1974,1856,0.0636,5901,5617.647,0.050439802,0.3345,1910,0.340000004,2,
4,24,201608, 2016-08-14,802,890,-0.0989,2176,2589.473717,-0.159674807,0.3686,984,0.379999995,2,
5,32,201608, 2016-08-14,1381,1463,-0.056,4255,4540.000077,-0.062775346,0.3246,1589,0.349999994,2,
6,42,201608, 2016-08-14,568,663,-0.1433,1481,2000.000034,-0.259500013,0.3835,700,0.349999994,2,
7,48,201608, 2016-08-14,204,226,-0.0973,728,818.518486,-0.1105882,0.2802,221,0.270000011,2,
8,44,201608, 2016-08-14,1470,1475,-0.0034,4918,4840.625108,0.015984483,0.2989,1549,0.319999993,2,
1,26,201608, 2016-08-21,1520,1621,-0.0623,3484,4133.333443,-0.157096797,0.4363,1860,0.449999988,3,
2,36,201608, 2016-08-21,819,951,-0.1388,2331,2848.571477,-0.181695099,0.3514,997,0.349999994,3,
3,34,201608, 2016-08-21,2191,2165,0.012,6208,6549.999931,-0.05221373,0.3529,2227,0.340000004,3,
4,24,201608, 2016-08-21,880,988,-0.1093,2269,2789.473719,-0.186584916,0.3878,1060,0.379999995,3,
5,32,201608, 2016-08-21,1565,1524,0.0269,4425,4874.285797,-0.092174693,0.3537,1706,0.349999994,3,
6,42,201608, 2016-08-21,589,709,-0.1693,1769,2137.142894,-0.172259372,0.333,748,0.349999994,3,
7,48,201608, 2016-08-21,200,251,-0.2032,717,896.2962607,-0.200041291,0.2789,242,0.270000011,3,
8,44,201608, 2016-08-21,1573,1697,-0.0731,5015,5578.125125,-0.100952401,0.3137,1785,0.319999993,3,
1,26,201608, 2016-08-28,1914,2517,-0.2396,4010,5635.555705,-0.288446391,0.4773,2536,0.449999988,4,
2,36,201608, 2016-08-28,956,1196,-0.2007,2623,3514.285774,-0.253617899,0.3645,1230,0.349999994,4,
3,34,201608, 2016-08-28,2539,2598,-0.0227,7028,7823.529329,-0.101684201,0.3613,2660,0.340000004,4,
4,24,201608, 2016-08-28,1095,1326,-0.1742,2687,3534.210571,-0.239717061,0.4075,1343,0.379999995,4,
5,32,201608, 2016-08-28,1761,2018,-0.1274,4974,6028.571531,-0.174928924,0.354,2110,0.349999994,4,
6,42,201608, 2016-08-28,699,777,-0.1004,1808,2328.571468,-0.223558295,0.3866,815,0.349999994,4,
7,48,201608, 2016-08-28,259,319,-0.1881,787,1114.814771,-0.294053128,0.3291,301,0.270000011,4,
8,44,201608, 2016-08-28,1736,1912,-0.0921,5531,6234.375139,-0.112822075,0.3139,1995,0.319999993,4,
1,26,201609, 2016-09-04,2087,2228,-0.0633,4182,5400.000143,-0.225555576,0.499,2430,0.449999988,1,
2,36,201609, 2016-09-04,1173,1327,-0.1161,2958,3845.714351,-0.230832108,0.3966,1346,0.349999994,1,
3,34,201609, 2016-09-04,3170,3161,0.0028,8526,9435.294018,-0.096371562,0.3718,3208,0.340000004,1,
4,24,201609, 2016-09-04,1168,1293,-0.0967,2764,3244.736883,-0.148158973,0.4226,1233,0.379999995,1,
5,32,201609, 2016-09-04,2208,2298,-0.0392,5761,6520.000111,-0.116411058,0.3833,2282,0.349999994,1,
6,42,201609, 2016-09-04,945,940,0.0053,2160,2902.857192,-0.255905524,0.4375,1016,0.349999994,1,
